,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-498.3702,97.48402,20.255665,-10.031797,-9.752161,-1.6900215,6.5677156,9.084786,7.6357837,5.9551406,4.689372,1.3381509,-1.2986398,0.37634623,3.199356,4.2601314,4.300103,4.383435,2.7268302,0.78211534,1.572924,2.1999161,2.1500907,3.3790543,4.5103836,4.9496922,4.8802013,3.3009408,0.19677278,-1.4383618,0.11189882,1.6928658,1.4354858,1.6593895,2.7264245,2.1897686,1.1973563,1.7468548,1.7736607,0.8335629
1,-467.57327,156.66675,-0.9658765,47.335304,32.652714,0.29805425,19.708477,-2.0498245,-7.294669,1.9117515,-10.282592,0.7016136,-1.2372651,-13.530456,-0.65436804,-2.735156,-7.0799365,0.8472618,-2.8698814,-1.6107925,-0.719381,-4.8100476,1.644532,-1.6314859,-9.0432005,-4.613988,-5.218972,-5.761328,-1.8987311,-1.9238265,0.01793584,0.19068731,-0.67869693,3.6816144,3.9369533,0.9247589,0.37759838,-0.7176502,-0.5366465,0.17478475
2,-442.71454,165.666,-7.8059464,32.38767,16.940914,-13.679734,19.118345,3.7627923,-10.579235,1.3753754,-1.7385637,9.548119,5.287978,-13.872622,-5.304876,-3.8622527,-7.3466544,-0.18134527,-4.6367993,-4.849685,-3.5782814,-8.049538,-0.040082484,-0.51865315,-7.2059207,-0.5369002,-2.3203318,-4.534934,2.8057692,0.34857836,-0.65839446,2.465432,-1.9991885,-1.9184215,1.7760848,2.062051,1.9024706,0.4668518,3.0264583,4.7933955
3,-363.96814,102.36674,20.330393,10.679154,14.627174,6.686863,6.6977615,-3.1744685,-22.694632,-23.275843,-10.959164,-8.413962,-10.935768,-1.4951408,2.8154762,-4.910904,-6.6671214,1.1888604,3.7020357,4.546562,5.7300177,2.1820338,2.4527087,6.737597,9.413665,11.994285,9.548176,1.3649447,0.3645728,-0.16115764,-2.3578725,3.3893766,5.676518,-0.30641314,1.5903971,4.352915,-2.7672417,-5.3347516,-2.6994104,-4.1781535
4,-341.26007,69.97261,9.50903,8.401139,18.115232,29.467592,22.119802,7.1839166,-4.4514956,-2.5943282,3.8792126,6.8193192,5.60475,3.9587169,2.2728972,2.1144524,2.61818,2.3741152,4.594086,5.5623355,4.339811,1.8685178,2.7064142,5.5061316,5.1595044,2.3996425,1.042491,-0.013545157,-0.54053646,1.2333283,0.15488802,0.43074343,1.1984035,0.84082764,1.4829592,-0.95724845,-2.9601,-2.4291723,-0.86910343,-0.93393654
5,-373.96146,139.03468,20.849705,15.30192,-2.6412582,2.8266556,-8.209863,18.163465,9.4364,-16.730602,-3.648614,9.391387,0.9710146,6.3477187,-0.7360794,-8.613848,4.463623,-2.5008497,-5.270199,-0.04576199,-3.0869722,1.3861978,-7.379145,-5.990213,1.163259,-4.051662,-6.0681705,-0.69402254,-2.5340533,-4.101642,-3.5460114,-2.9959054,-0.3443774,-3.0002835,-5.215222,-0.5106277,-4.014035,-2.9838252,-3.4822745,-2.4936721
6,-335.80942,122.153076,22.229618,8.566429,-1.9384669,2.04725,-7.740187,14.206381,9.666895,-20.695972,-6.474049,9.631319,-0.4397171,2.6820154,2.0197852,-7.323515,0.2140449,-3.4311144,-4.3586245,-2.6852634,-3.9964085,2.5186787,-5.5096965,-9.174655,0.95755684,-1.446734,-7.268663,-2.5900419,-0.6606852,-4.2579594,-4.7598896,-3.0108328,-2.0747116,-2.6459854,-2.5293925,-0.36378765,-0.6224304,-2.3487904,0.10273396,0.27611923
7,-456.2454,127.50898,-12.268934,1.5983958,30.049156,5.076789,-15.516172,4.24192,-16.9081,-23.969746,-16.104797,-6.676928,-10.921267,-5.195353,-6.009349,-9.52074,-2.0205426,-18.932959,-7.0128493,4.5824437,-15.985022,-6.91129,-7.820107,-1.6843294,-8.893393,-11.174081,-1.862856,-6.108176,-2.5922327,-6.597521,-7.8626146,-7.1904554,1.9565896,-2.399218,-1.6297128,-2.8237202,2.892681,4.252121,-6.7423344,0.8056782
8,-366.8829,115.04779,17.030708,1.3330946,-19.60369,-27.287678,-29.459944,1.6058825,-22.091335,-27.893335,-15.4670515,19.20853,5.279584,-1.276438,-5.635185,-6.269973,-3.402575,-12.475355,-7.974305,-9.810494,-14.158616,1.2297325,-12.375622,-11.915579,1.2609291,-5.655285,-4.722608,-4.815835,-3.176239,-12.880303,-4.2812877,-2.9253354,-3.9779713,-5.6343613,-0.21735594,-0.68486583,0.6949428,2.577871,-2.9752493,0.8166543
9,-490.98663,80.9111,30.284018,11.458741,10.636633,10.070297,5.120951,-7.174221,-12.492577,-5.462242,-5.584306,-16.391485,-20.95704,-17.637367,-15.781493,-14.431904,-12.028699,-11.809667,-11.579054,-9.963249,-9.217344,-6.9367814,-3.41766,-2.5035586,-1.4396768,1.6230558,3.7115147,5.1813135,6.3741426,5.32156,3.1555557,1.7369572,0.3665418,-1.0994596,-1.4385111,-0.9671283,-0.7707601,-0.0015813145,1.6388841,2.5247505
